STATE_NAME,STATE,COUNTY_NAME,COUNTY,GEOFLAG,DATE,CASE_TYPE,CASES,POPN
Hawaii,15,Hawaii,15001,County,2021-06-16,Complete,,201513
Hawaii,15,Honolulu,15003,County,2021-06-16,Complete,,974563
Hawaii,15,Kalawao,15005,County,2021-06-16,Complete,,86
Hawaii,15,Kauai,15007,County,2021-06-16,Complete,,72293
Hawaii,15,Maui,15009,County,2021-06-16,Complete,,167417
Alaska,2,Aleutians East,2013,County,2021-06-16,Complete,2152.0,3337
Alaska,2,Aleutians West,2016,County,2021-06-16,Complete,2623.0,5634
Alaska,2,Anchorage,2020,County,2021-06-16,Complete,124531.0,288000
Alaska,2,Bethel,2050,County,2021-06-16,Complete,8873.0,18386
Alaska,2,Bristol Bay,2060,County,2021-06-16,Complete,622.0,836
Alaska,2,Denali,2068,County,2021-06-16,Complete,838.0,2097
Alaska,2,Dillingham,2070,County,2021-06-16,Complete,1801.0,4916
Alaska,2,Fairbanks North Star,2090,County,2021-06-16,Complete,34173.0,96849
Alaska,2,Haines,2100,County,2021-06-16,Complete,1418.0,2530
Alaska,2,Hoonah-Angoon,2105,County,2021-06-16,Complete,1239.0,2148
Alaska,2,Juneau,2110,County,2021-06-16,Complete,18474.0,31974
Alaska,2,Kenai Peninsula,2122,County,2021-06-16,Complete,20527.0,58708
Alaska,2,Ketchikan Gateway,2130,County,2021-06-16,Complete,6648.0,13901
Alaska,2,Kodiak Island,2150,County,2021-06-16,Complete,6226.0,12998
Alaska,2,Lake and Peninsula,2164,County,2021-06-16,Complete,711.0,1592
Alaska,2,Matanuska-Susitna,2170,County,2021-06-16,Complete,27717.0,108317
Alaska,2,Nome,2180,County,2021-06-16,Complete,5500.0,10004
Alaska,2,North Slope,2185,County,2021-06-16,Complete,2704.0,9832
Alaska,2,Northwest Arctic,2188,County,2021-06-16,Complete,3060.0,7621
Alaska,2,Petersburg,2195,County,2021-06-16,Complete,1958.0,3266
Alaska,2,Prince of Wales-Hyder,2198,County,2021-06-16,Complete,2468.0,6203
Alaska,2,Sitka,2220,County,2021-06-16,Complete,5062.0,8493
Alaska,2,Skagway,2230,County,2021-06-16,Complete,709.0,1183
Alaska,2,Southeast Fairbanks,2240,County,2021-06-16,Complete,1494.0,6893
Alaska,2,Wrangell,2275,County,2021-06-16,Complete,1159.0,2502
Alaska,2,Yakutat,2282,County,2021-06-16,Complete,364.0,579
Alaska,2,Yukon-Koyukuk,2290,County,2021-06-16,Complete,2727.0,5230
Alabama,1,Autauga,1001,County,2021-06-16,Complete,12966.0,55869
Alabama,1,Baldwin,1003,County,2021-06-16,Complete,61315.0,223234
Alabama,1,Barbour,1005,County,2021-06-16,Complete,5232.0,24686
Alabama,1,Bibb,1007,County,2021-06-16,Complete,4161.0,22394
Alabama,1,Blount,1009,County,2021-06-16,Complete,10139.0,57826
Alabama,1,Bullock,1011,County,2021-06-16,Complete,3185.0,10101
Alabama,1,Butler,1013,County,2021-06-16,Complete,4696.0,19448
Alabama,1,Calhoun,1015,County,2021-06-16,Complete,31483.0,113605
Alabama,1,Chambers,1017,County,2021-06-16,Complete,6506.0,33254
Alabama,1,Cherokee,1019,County,2021-06-16,Complete,5576.0,26196
Alabama,1,Chilton,1021,County,2021-06-16,Complete,8620.0,44428
Alabama,1,Choctaw,1023,County,2021-06-16,Complete,4653.0,12589
Alabama,1,Clarke,1025,County,2021-06-16,Complete,6783.0,23622
Alabama,1,Clay,1027,County,2021-06-16,Complete,3304.0,13235
Alabama,1,Cleburne,1029,County,2021-06-16,Complete,2957.0,14910
Alabama,1,Coffee,1031,County,2021-06-16,Complete,11254.0,52342
Alabama,1,Colbert,1033,County,2021-06-16,Complete,17234.0,55241
Alabama,1,Conecuh,1035,County,2021-06-16,Complete,3068.0,12067
Alabama,1,Coosa,1037,County,2021-06-16,Complete,2831.0,10663
Alabama,1,Covington,1039,County,2021-06-16,Complete,7594.0,37049
Alabama,1,Crenshaw,1041,County,2021-06-16,Complete,2983.0,13772
Alabama,1,Cullman,1043,County,2021-06-16,Complete,20475.0,83768
Alabama,1,Dale,1045,County,2021-06-16,Complete,15870.0,49172
Alabama,1,Dallas,1047,County,2021-06-16,Complete,9133.0,37196
Alabama,1,DeKalb,1049,County,2021-06-16,Complete,13450.0,71513
Alabama,1,Elmore,1051,County,2021-06-16,Complete,21098.0,81209
Alabama,1,Escambia,1053,County,2021-06-16,Complete,7427.0,36633
Alabama,1,Etowah,1055,County,2021-06-16,Complete,25296.0,102268
Alabama,1,Fayette,1057,County,2021-06-16,Complete,3645.0,16302
Alabama,1,Franklin,1059,County,2021-06-16,Complete,8604.0,31362
Alabama,1,Geneva,1061,County,2021-06-16,Complete,6167.0,26271
Alabama,1,Greene,1063,County,2021-06-16,Complete,2482.0,8111
Alabama,1,Hale,1065,County,2021-06-16,Complete,5599.0,14651
Alabama,1,Henry,1067,County,2021-06-16,Complete,4873.0,17205
Alabama,1,Houston,1069,County,2021-06-16,Complete,27461.0,105882
Alabama,1,Jackson,1071,County,2021-06-16,Complete,15252.0,51626
Alabama,1,Jefferson,1073,County,2021-06-16,Complete,239299.0,658573
Alabama,1,Lamar,1075,County,2021-06-16,Complete,3835.0,13805
Alabama,1,Lauderdale,1077,County,2021-06-16,Complete,28584.0,92729
Alabama,1,Lawrence,1079,County,2021-06-16,Complete,9941.0,32924
Alabama,1,Lee,1081,County,2021-06-16,Complete,44148.0,164542
Alabama,1,Limestone,1083,County,2021-06-16,Complete,23235.0,98915
Alabama,1,Lowndes,1085,County,2021-06-16,Complete,2800.0,9726
Alabama,1,Macon,1087,County,2021-06-16,Complete,5299.0,18068
Alabama,1,Madison,1089,County,2021-06-16,Complete,144190.0,372909
Alabama,1,Marengo,1091,County,2021-06-16,Complete,6168.0,18863
Alabama,1,Marion,1093,County,2021-06-16,Complete,6806.0,29709
Alabama,1,Marshall,1095,County,2021-06-16,Complete,25162.0,96774
Alabama,1,Mobile,1097,County,2021-06-16,Complete,114032.0,413210
Alabama,1,Monroe,1099,County,2021-06-16,Complete,5080.0,20733
Alabama,1,Montgomery,1101,County,2021-06-16,Complete,71157.0,226486
Alabama,1,Morgan,1103,County,2021-06-16,Complete,33380.0,119679
Alabama,1,Perry,1105,County,2021-06-16,Complete,2696.0,8923
Alabama,1,Pickens,1107,County,2021-06-16,Complete,5613.0,19930
Alabama,1,Pike,1109,County,2021-06-16,Complete,8161.0,33114
Alabama,1,Randolph,1111,County,2021-06-16,Complete,5004.0,22722
Alabama,1,Russell,1113,County,2021-06-16,Complete,12988.0,57961
Alabama,1,Shelby,1117,County,2021-06-16,Complete,46704.0,217702
Alabama,1,St. Clair,1115,County,2021-06-16,Complete,20730.0,89512
Alabama,1,Sumter,1119,County,2021-06-16,Complete,3779.0,12427
Alabama,1,Talladega,1121,County,2021-06-16,Complete,17395.0,79978
Alabama,1,Tallapoosa,1123,County,2021-06-16,Complete,10038.0,40367
Alabama,1,Tuscaloosa,1125,County,2021-06-16,Complete,56888.0,209355
Alabama,1,Walker,1127,County,2021-06-16,Complete,18268.0,63521
Alabama,1,Washington,1129,County,2021-06-16,Complete,4032.0,16326
Alabama,1,Wilcox,1131,County,2021-06-16,Complete,3242.0,10373
Alabama,1,Winston,1133,County,2021-06-16,Complete,3207.0,23629
Arkansas,5,Arkansas,5001,County,2021-06-16,Complete,5981.0,17486
Arkansas,5,Ashley,5003,County,2021-06-16,Complete,5991.0,19657
Arkansas,5,Baxter,5005,County,2021-06-16,Complete,13108.0,41932
Arkansas,5,Benton,5007,County,2021-06-16,Complete,89107.0,279141
Arkansas,5,Boone,5009,County,2021-06-16,Complete,8449.0,37432
Arkansas,5,Bradley,5011,County,2021-06-16,Complete,3730.0,10763
Arkansas,5,Calhoun,5013,County,2021-06-16,Complete,1133.0,5189
Arkansas,5,Carroll,5015,County,2021-06-16,Complete,7960.0,28380
Arkansas,5,Chicot,5017,County,2021-06-16,Complete,3506.0,10118
Arkansas,5,Clark,5019,County,2021-06-16,Complete,6976.0,22320
Arkansas,5,Clay,5021,County,2021-06-16,Complete,4401.0,14551
Arkansas,5,Cleburne,5023,County,2021-06-16,Complete,7190.0,24919
Arkansas,5,Cleveland,5025,County,2021-06-16,Complete,2507.0,7956
Arkansas,5,Columbia,5027,County,2021-06-16,Complete,6543.0,23457
Arkansas,5,Conway,5029,County,2021-06-16,Complete,7374.0,20846
Arkansas,5,Craighead,5031,County,2021-06-16,Complete,28253.0,110332
Arkansas,5,Crawford,5033,County,2021-06-16,Complete,15427.0,63257
Arkansas,5,Crittenden,5035,County,2021-06-16,Complete,11197.0,47955
Arkansas,5,Cross,5037,County,2021-06-16,Complete,4937.0,16419
Arkansas,5,Dallas,5039,County,2021-06-16,Complete,2460.0,7009
Arkansas,5,Desha,5041,County,2021-06-16,Complete,4092.0,11361
Arkansas,5,Drew,5043,County,2021-06-16,Complete,5426.0,18219
Arkansas,5,Faulkner,5045,County,2021-06-16,Complete,39304.0,126007
Arkansas,5,Franklin,5047,County,2021-06-16,Complete,5344.0,17715
Arkansas,5,Fulton,5049,County,2021-06-16,Complete,2613.0,12477
Arkansas,5,Garland,5051,County,2021-06-16,Complete,28790.0,99386
Arkansas,5,Grant,5053,County,2021-06-16,Complete,5076.0,18265
Arkansas,5,Greene,5055,County,2021-06-16,Complete,11908.0,45325
Arkansas,5,Hempstead,5057,County,2021-06-16,Complete,3790.0,21532
Arkansas,5,Hot Spring,5059,County,2021-06-16,Complete,8903.0,33771
Arkansas,5,Howard,5061,County,2021-06-16,Complete,3841.0,13202
Arkansas,5,Independence,5063,County,2021-06-16,Complete,8556.0,37825
Arkansas,5,Izard,5065,County,2021-06-16,Complete,3139.0,13629
Arkansas,5,Jackson,5067,County,2021-06-16,Complete,4117.0,16719
Arkansas,5,Jefferson,5069,County,2021-06-16,Complete,15814.0,66824
Arkansas,5,Johnson,5071,County,2021-06-16,Complete,7505.0,26578
Arkansas,5,Lafayette,5073,County,2021-06-16,Complete,1520.0,6624
Arkansas,5,Lawrence,5075,County,2021-06-16,Complete,4246.0,16406
Arkansas,5,Lee,5077,County,2021-06-16,Complete,1942.0,8857
Arkansas,5,Lincoln,5079,County,2021-06-16,Complete,2795.0,13024
Arkansas,5,Little River,5081,County,2021-06-16,Complete,2289.0,12259
Arkansas,5,Logan,5083,County,2021-06-16,Complete,5926.0,21466
Arkansas,5,Lonoke,5085,County,2021-06-16,Complete,21301.0,73309
Arkansas,5,Madison,5087,County,2021-06-16,Complete,4094.0,16576
Arkansas,5,Marion,5089,County,2021-06-16,Complete,3751.0,16694
Arkansas,5,Miller,5091,County,2021-06-16,Complete,3462.0,43257
Arkansas,5,Mississippi,5093,County,2021-06-16,Complete,9555.0,40651
Arkansas,5,Monroe,5095,County,2021-06-16,Complete,2211.0,6701
Arkansas,5,Montgomery,5097,County,2021-06-16,Complete,2307.0,8986
Arkansas,5,Nevada,5099,County,2021-06-16,Complete,1749.0,8252
Arkansas,5,Newton,5101,County,2021-06-16,Complete,1618.0,7753
Arkansas,5,Ouachita,5103,County,2021-06-16,Complete,7424.0,23382
Arkansas,5,Perry,5105,County,2021-06-16,Complete,3424.0,10455
Arkansas,5,Phillips,5107,County,2021-06-16,Complete,5082.0,17782
Arkansas,5,Pike,5109,County,2021-06-16,Complete,2575.0,10718
Arkansas,5,Poinsett,5111,County,2021-06-16,Complete,5847.0,23528
Arkansas,5,Polk,5113,County,2021-06-16,Complete,4196.0,19964
Arkansas,5,Pope,5115,County,2021-06-16,Complete,19712.0,64072
Arkansas,5,Prairie,5117,County,2021-06-16,Complete,1997.0,8062
Arkansas,5,Pulaski,5119,County,2021-06-16,Complete,147985.0,391911
Arkansas,5,Randolph,5121,County,2021-06-16,Complete,3198.0,17958
Arkansas,5,Saline,5125,County,2021-06-16,Complete,38413.0,122437
Arkansas,5,Scott,5127,County,2021-06-16,Complete,2397.0,10281
Arkansas,5,Searcy,5129,County,2021-06-16,Complete,1984.0,7881
Arkansas,5,Sebastian,5131,County,2021-06-16,Complete,29223.0,127827
Arkansas,5,Sevier,5133,County,2021-06-16,Complete,4333.0,17007
Arkansas,5,Sharp,5135,County,2021-06-16,Complete,4274.0,17442
Arkansas,5,St. Francis,5123,County,2021-06-16,Complete,7245.0,24994
Arkansas,5,Stone,5137,County,2021-06-16,Complete,3295.0,12506
Arkansas,5,Union,5139,County,2021-06-16,Complete,10971.0,38682
Arkansas,5,Van Buren,5141,County,2021-06-16,Complete,4686.0,16545
Arkansas,5,Washington,5143,County,2021-06-16,Complete,77875.0,239187
Arkansas,5,White,5145,County,2021-06-16,Complete,21838.0,78753
Arkansas,5,Woodruff,5147,County,2021-06-16,Complete,2311.0,6320
Arkansas,5,Yell,5149,County,2021-06-16,Complete,5985.0,21341
Arizona,4,Apache,4001,County,2021-06-16,Complete,39669.0,71887
Arizona,4,Cochise,4003,County,2021-06-16,Complete,48444.0,125922
Arizona,4,Coconino,4005,County,2021-06-16,Complete,73634.0,143476
Arizona,4,Gila,4007,County,2021-06-16,Complete,23214.0,54018
Arizona,4,Graham,4009,County,2021-06-16,Complete,16060.0,38837
Arizona,4,Greenlee,4011,County,2021-06-16,Complete,2867.0,9498
