STATE_NAME,STATE,DATE,CASE_TYPE,DEMO_GROUP,CASES
Alabama,1,2021-03-08,Partial Coverage,CASES_Female,15.819870638142014
Alaska,2,2021-03-08,Partial Coverage,CASES_Female,24.305466302227476
Arizona,4,2021-03-08,Partial Coverage,CASES_Female,21.187080422349798
District of Columbia,11,2021-03-08,Partial Coverage,CASES_Female,5.752241010354735
Florida,12,2021-03-08,Partial Coverage,CASES_Female,7.820161609284525
Georgia,13,2021-03-08,Partial Coverage,CASES_Female,0.0
Idaho,16,2021-03-08,Partial Coverage,CASES_Female,0.0
Illinois,17,2021-03-08,Partial Coverage,CASES_Female,30.603855886098053
Kansas,20,2021-03-08,Partial Coverage,CASES_Female,18.896605608719657
Kentucky,21,2021-03-08,Partial Coverage,CASES_Female,20.17943708848853
Maine,23,2021-03-08,Partial Coverage,CASES_Female,23.05159597726279
Maryland,24,2021-03-08,Partial Coverage,CASES_Female,19.23893461755029
Massachusetts,25,2021-03-08,Partial Coverage,CASES_Female,21.508682848713043
Minnesota,27,2021-03-08,Partial Coverage,CASES_Female,34.094771365397314
Mississippi,28,2021-03-08,Partial Coverage,CASES_Female,0.0
Nebraska,31,2021-03-08,Partial Coverage,CASES_Female,20.905430911846473
Ohio,39,2021-03-08,Partial Coverage,CASES_Female,19.63469898152869
Oregon,41,2021-03-08,Partial Coverage,CASES_Female,20.417816559395582
Pennsylvania,42,2021-03-08,Partial Coverage,CASES_Female,9.025943267600422
Rhode Island,44,2021-03-08,Partial Coverage,CASES_Female,21.103173522952588
South Dakota,46,2021-03-08,Partial Coverage,CASES_Female,22.199487556576585
Utah,49,2021-03-08,Partial Coverage,CASES_Female,0.0
Virginia,51,2021-03-08,Partial Coverage,CASES_Female,18.391645072431608
Washington,53,2021-03-08,Partial Coverage,CASES_Female,0.0
Connecticut,9,2021-03-08,Complete Coverage,CASES_Female,12.05611571470039
District of Columbia,11,2021-03-08,Complete Coverage,CASES_Female,4.839935532209639
Florida,12,2021-03-08,Complete Coverage,CASES_Female,9.786351137966761
Illinois,17,2021-03-08,Complete Coverage,CASES_Female,10.483280511594328
Maine,23,2021-03-08,Complete Coverage,CASES_Female,13.460574260311908
Maryland,24,2021-03-08,Complete Coverage,CASES_Female,11.048875213960406
Massachusetts,25,2021-03-08,Complete Coverage,CASES_Female,10.461285588825282
Minnesota,27,2021-03-08,Complete Coverage,CASES_Female,19.876345535636354
Mississippi,28,2021-03-08,Complete Coverage,CASES_Female,0.0
Nebraska,31,2021-03-08,Complete Coverage,CASES_Female,12.166734334822033
Ohio,39,2021-03-08,Complete Coverage,CASES_Female,11.363425054937974
Pennsylvania,42,2021-03-08,Complete Coverage,CASES_Female,8.218712831062064
Rhode Island,44,2021-03-08,Complete Coverage,CASES_Female,0.0
Virginia,51,2021-03-08,Complete Coverage,CASES_Female,10.289897127324716
Washington,53,2021-03-08,Complete Coverage,CASES_Female,0.0
West Virginia,54,2021-03-08,Complete Coverage,CASES_Female,14.78155680650879
California,6,2021-03-08,Partial Coverage,CASES_Female,0.0
Colorado,8,2021-03-08,Partial Coverage,CASES_Female,20.982606926325726
Indiana,18,2021-03-08,Partial Coverage,CASES_Female,19.27221171801062
Louisiana,22,2021-03-08,Partial Coverage,CASES_Female,18.012432360488788
North Carolina,37,2021-03-08,Partial Coverage,CASES_Female,17.47845300696757
West Virginia,54,2021-03-08,Partial Coverage,CASES_Female,0.0
Indiana,18,2021-03-08,Complete Coverage,CASES_Female,12.199345283612248
North Carolina,37,2021-03-08,Complete Coverage,CASES_Female,10.413638807532545
Delaware,10,2021-03-08 00:00:00,Partial Coverage,CASES_Female,33.45878788240276
Texas,48,2021-03-08,Partial Coverage,CASES_Female,17.133182564265127
Texas,48,2021-03-08,Complete Coverage,CASES_Female,9.566551606061983
Tennessee,47,2021-03-08 00:00:00,Complete Coverage,CASES_Female,10.402052082752467
Tennessee,47,2021-03-08 00:00:00,Partial Coverage,CASES_Female,18.381439746520883
Missouri,29,2021-03-08,Partial Coverage,CASES_Female,18.9
North Dakota,38,2021-03-08,Partial Coverage,CASES_Female,0.0
Vermont,50,2021-03-08,Partial Coverage,CASES_Female,25.5
Wisconsin,55,2021-03-08,Partial Coverage,CASES_Female,21.8
North Dakota,38,2021-03-08,Complete Coverage,CASES_Female,0.0
Wisconsin,55,2021-03-08,Complete Coverage,CASES_Female,12.6
Alabama,1,2021-03-08,Partial,CASES_Female,400823.0
Alaska,2,2021-03-08,Partial,CASES_Female,85100.0
Arizona,4,2021-03-08,Partial,CASES_Female,775748.0
District of Columbia,11,2021-03-08,Partial,CASES_Female,21343.0
Florida,12,2021-03-08,Partial,CASES_Female,858707.0
Georgia,13,2021-03-08,Partial,CASES_Female,0.0
Idaho,16,2021-03-08,Partial,CASES_Female,0.0
Illinois,17,2021-03-08,Partial,CASES_Female,1972499.0
Kansas,20,2021-03-08,Partial,CASES_Female,276196.0
Kentucky,21,2021-03-08,Partial,CASES_Female,457396.0
Maine,23,2021-03-08,Partial,CASES_Female,158157.0
Maryland,24,2021-03-08,Partial,CASES_Female,599642.0
Massachusetts,25,2021-03-08,Partial,CASES_Female,762899.0
Minnesota,27,2021-03-08,Partial,CASES_Female,964821.0
Mississippi,28,2021-03-08,Partial,CASES_Female,0.0
Nebraska,31,2021-03-08,Partial,CASES_Female,202356.0
Ohio,39,2021-03-08,Partial,CASES_Female,1169941.0
Oregon,41,2021-03-08,Partial,CASES_Female,434289.0
Pennsylvania,42,2021-03-08,Partial,CASES_Female,589180.0
Rhode Island,44,2021-03-08,Partial,CASES_Female,114735.0
South Dakota,46,2021-03-08,Partial,CASES_Female,97212.0
Utah,49,2021-03-08,Partial,CASES_Female,0.0
Virginia,51,2021-03-08,Partial,CASES_Female,797326.0
Washington,53,2021-03-08,Partial,CASES_Female,0.0
Connecticut,9,2021-03-08,Complete,CASES_Female,220129.0
District of Columbia,11,2021-03-08,Complete,CASES_Female,17958.0
Florida,12,2021-03-08,Complete,CASES_Female,1074608.0
Illinois,17,2021-03-08,Complete,CASES_Female,675675.0
Maine,23,2021-03-08,Complete,CASES_Female,92353.0
Maryland,24,2021-03-08,Complete,CASES_Female,344373.0
Massachusetts,25,2021-03-08,Complete,CASES_Female,371055.0
Minnesota,27,2021-03-08,Complete,CASES_Female,562465.0
Mississippi,28,2021-03-08,Complete,CASES_Female,0.0
Nebraska,31,2021-03-08,Complete,CASES_Female,117769.0
Ohio,39,2021-03-08,Complete,CASES_Female,677094.0
Pennsylvania,42,2021-03-08,Complete,CASES_Female,536487.0
Rhode Island,44,2021-03-08,Complete,CASES_Female,0.0
Virginia,51,2021-03-08,Complete,CASES_Female,446094.0
Washington,53,2021-03-08,Complete,CASES_Female,0.0
West Virginia,54,2021-03-08,Complete,CASES_Female,133681.0
California,6,2021-03-08,Partial,CASES_Female,0.0
Colorado,8,2021-03-08,Partial,CASES_Female,599554.4924000001
Indiana,18,2021-03-08,Partial,CASES_Female,657540.69
Louisiana,22,2021-03-08,Partial,CASES_Female,429010.027
North Carolina,37,2021-03-08,Partial,CASES_Female,941707.5868
West Virginia,54,2021-03-08,Partial,CASES_Female,0.0
Indiana,18,2021-03-08,Complete,CASES_Female,416224.46
North Carolina,37,2021-03-08,Complete,CASES_Female,561068.1144
Delaware,10,2021-03-08 00:00:00,Partial,CASES_Female,168288.0
Texas,48,2021-03-08,Partial,CASES_Female,2500276.0
Texas,48,2021-03-08,Complete,CASES_Female,1396064.0
Tennessee,47,2021-03-08 00:00:00,Complete,CASES_Female,363753.0
Tennessee,47,2021-03-08 00:00:00,Partial,CASES_Female,642787.0
Alabama,1,2021-03-08,Complete Coverage,CASES_Female,0.0
Alaska,2,2021-03-08,Complete Coverage,CASES_Female,0.0
Arizona,4,2021-03-08,Complete Coverage,CASES_Female,0.0
Georgia,13,2021-03-08,Complete Coverage,CASES_Female,0.0
Idaho,16,2021-03-08,Complete Coverage,CASES_Female,0.0
Kansas,20,2021-03-08,Complete Coverage,CASES_Female,0.0
Kentucky,21,2021-03-08,Complete Coverage,CASES_Female,0.0
Oregon,41,2021-03-08,Complete Coverage,CASES_Female,0.0
South Dakota,46,2021-03-08,Complete Coverage,CASES_Female,0.0
Utah,49,2021-03-08,Complete Coverage,CASES_Female,0.0
California,6,2021-03-08,Complete Coverage,CASES_Female,0.0
Colorado,8,2021-03-08,Complete Coverage,CASES_Female,0.0
Louisiana,22,2021-03-08,Complete Coverage,CASES_Female,0.0
Delaware,10,2021-03-08 00:00:00,Complete Coverage,CASES_Female,0.0
Missouri,29,2021-03-08,Complete Coverage,CASES_Female,0.0
Vermont,50,2021-03-08,Complete Coverage,CASES_Female,0.0
Alabama,1,2021-03-08,Partial Coverage,CASES_Male,10.985572165129012
Alaska,2,2021-03-08,Partial Coverage,CASES_Male,19.37506882213215
Arizona,4,2021-03-08,Partial Coverage,CASES_Male,15.550561648656442
District of Columbia,11,2021-03-08,Partial Coverage,CASES_Male,4.3512164225257015
Florida,12,2021-03-08,Partial Coverage,CASES_Male,6.098147899753988
Georgia,13,2021-03-08,Partial Coverage,CASES_Male,0.0
Idaho,16,2021-03-08,Partial Coverage,CASES_Male,0.0
Illinois,17,2021-03-08,Partial Coverage,CASES_Male,20.32159661887033
Kansas,20,2021-03-08,Partial Coverage,CASES_Male,11.167068610047414
Kentucky,21,2021-03-08,Partial Coverage,CASES_Male,13.481512510739295
Maine,23,2021-03-08,Partial Coverage,CASES_Male,15.543554896431003
Maryland,24,2021-03-08,Partial Coverage,CASES_Male,12.837805771177573
Massachusetts,25,2021-03-08,Partial Coverage,CASES_Male,14.482473529158577
Minnesota,27,2021-03-08,Partial Coverage,CASES_Male,22.294915921391155
Mississippi,28,2021-03-08,Partial Coverage,CASES_Male,0.0
Nebraska,31,2021-03-08,Partial Coverage,CASES_Male,12.2146124627373
Ohio,39,2021-03-08,Partial Coverage,CASES_Male,12.558140021868711
Oregon,41,2021-03-08,Partial Coverage,CASES_Male,13.028004134447013
Pennsylvania,42,2021-03-08,Partial Coverage,CASES_Male,6.646477625370935
Rhode Island,44,2021-03-08,Partial Coverage,CASES_Male,14.001066563242352
South Dakota,46,2021-03-08,Partial Coverage,CASES_Male,13.963519318108053
Utah,49,2021-03-08,Partial Coverage,CASES_Male,0.0
Virginia,51,2021-03-08,Partial Coverage,CASES_Male,11.823990770088592
Washington,53,2021-03-08,Partial Coverage,CASES_Male,0.0
Connecticut,9,2021-03-08,Complete Coverage,CASES_Male,7.163952059799347
District of Columbia,11,2021-03-08,Complete Coverage,CASES_Male,3.3888937023282772
Florida,12,2021-03-08,Complete Coverage,CASES_Male,7.389633817329354
Illinois,17,2021-03-08,Complete Coverage,CASES_Male,6.416370007313832
Maine,23,2021-03-08,Complete Coverage,CASES_Male,7.934667655353496
Maryland,24,2021-03-08,Complete Coverage,CASES_Male,6.808063874572573
Massachusetts,25,2021-03-08,Complete Coverage,CASES_Male,6.0768156558168895
Minnesota,27,2021-03-08,Complete Coverage,CASES_Male,11.851259746652
Mississippi,28,2021-03-08,Complete Coverage,CASES_Male,0.0
Nebraska,31,2021-03-08,Complete Coverage,CASES_Male,5.9740348430181
Ohio,39,2021-03-08,Complete Coverage,CASES_Male,6.591517550983656
Pennsylvania,42,2021-03-08,Complete Coverage,CASES_Male,4.734952292352959
Rhode Island,44,2021-03-08,Complete Coverage,CASES_Male,0.0
Virginia,51,2021-03-08,Complete Coverage,CASES_Male,5.998513900458948
Washington,53,2021-03-08,Complete Coverage,CASES_Male,0.0
West Virginia,54,2021-03-08,Complete Coverage,CASES_Male,9.124885950189801
California,6,2021-03-08,Partial Coverage,CASES_Male,0.0
Colorado,8,2021-03-08,Partial Coverage,CASES_Male,13.375887153143987
Indiana,18,2021-03-08,Partial Coverage,CASES_Male,1.5748813381681503
Louisiana,22,2021-03-08,Partial Coverage,CASES_Male,1.1555744646126023
North Carolina,37,2021-03-08,Partial Coverage,CASES_Male,12.0273664990675
West Virginia,54,2021-03-08,Partial Coverage,CASES_Male,0.0
Indiana,18,2021-03-08,Complete Coverage,CASES_Male,7.860221482007975
North Carolina,37,2021-03-08,Complete Coverage,CASES_Male,7.274937705185458
Delaware,10,2021-03-08 00:00:00,Partial Coverage,CASES_Male,22.019656197097238
Texas,48,2021-03-08,Partial Coverage,CASES_Male,12.460377226439872
Texas,48,2021-03-08,Complete Coverage,CASES_Male,6.744831629509519
Tennessee,47,2021-03-08 00:00:00,Complete Coverage,CASES_Male,6.673951058132385
Tennessee,47,2021-03-08 00:00:00,Partial Coverage,CASES_Male,12.326186687089372
Missouri,29,2021-03-08,Partial Coverage,CASES_Male,12.9
North Dakota,38,2021-03-08,Partial Coverage,CASES_Male,0.0
Vermont,50,2021-03-08,Partial Coverage,CASES_Male,17.1
Wisconsin,55,2021-03-08,Partial Coverage,CASES_Male,14.0
North Dakota,38,2021-03-08,Complete Coverage,CASES_Male,0.0
Wisconsin,55,2021-03-08,Complete Coverage,CASES_Male,7.5
Alabama,1,2021-03-08,Partial,CASES_Male,260305.0
Alaska,2,2021-03-08,Partial,CASES_Male,73900.0
Arizona,4,2021-03-08,Partial,CASES_Male,562510.0
District of Columbia,11,2021-03-08,Partial,CASES_Male,14564.0
Florida,12,2021-03-08,Partial,CASES_Male,640126.0
Georgia,13,2021-03-08,Partial,CASES_Male,0.0
Idaho,16,2021-03-08,Partial,CASES_Male,0.0
Illinois,17,2021-03-08,Partial,CASES_Male,1265336.0
Kansas,20,2021-03-08,Partial,CASES_Male,162112.0
Kentucky,21,2021-03-08,Partial,CASES_Male,296732.0
Maine,23,2021-03-08,Partial,CASES_Male,102294.0
Maryland,24,2021-03-08,Partial,CASES_Male,376002.0
Massachusetts,25,2021-03-08,Partial,CASES_Male,484521.0
Minnesota,27,2021-03-08,Partial,CASES_Male,626445.0
Mississippi,28,2021-03-08,Partial,CASES_Male,0.0
Nebraska,31,2021-03-08,Partial,CASES_Male,118048.0
Ohio,39,2021-03-08,Partial,CASES_Male,719652.0
Oregon,41,2021-03-08,Partial,CASES_Male,272380.0
Pennsylvania,42,2021-03-08,Partial,CASES_Male,417024.0
Rhode Island,44,2021-03-08,Partial,CASES_Male,72200.0
South Dakota,46,2021-03-08,Partial,CASES_Male,62383.0
Utah,49,2021-03-08,Partial,CASES_Male,0.0
Virginia,51,2021-03-08,Partial,CASES_Male,496638.0
Washington,53,2021-03-08,Partial,CASES_Male,0.0
Connecticut,9,2021-03-08,Complete,CASES_Male,124611.0
District of Columbia,11,2021-03-08,Complete,CASES_Male,11343.0
Florida,12,2021-03-08,Complete,CASES_Male,775694.0
Illinois,17,2021-03-08,Complete,CASES_Male,399519.0
Maine,23,2021-03-08,Complete,CASES_Male,52219.0
Maryland,24,2021-03-08,Complete,CASES_Male,199399.0
Massachusetts,25,2021-03-08,Complete,CASES_Male,203304.0
Minnesota,27,2021-03-08,Complete,CASES_Male,332998.0
Mississippi,28,2021-03-08,Complete,CASES_Male,0.0
Nebraska,31,2021-03-08,Complete,CASES_Male,57736.0
Ohio,39,2021-03-08,Complete,CASES_Male,377731.0
Pennsylvania,42,2021-03-08,Complete,CASES_Male,297088.0
Rhode Island,44,2021-03-08,Complete,CASES_Male,0.0
Virginia,51,2021-03-08,Complete,CASES_Male,251953.0
Washington,53,2021-03-08,Complete,CASES_Male,0.0
West Virginia,54,2021-03-08,Complete,CASES_Male,81008.0
California,6,2021-03-08,Partial,CASES_Male,0.0
Colorado,8,2021-03-08,Partial,CASES_Male,388081.0344
Indiana,18,2021-03-08,Partial,CASES_Male,52291.73
